Tag,Datum,Start,Ende,Min,Soll,Rezeptur,Produkt,System,Year,FilePath
Mo,26.07.,22:00,07:52,28,32.3,A-220,100G Waffel,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2 H3_KW 30 Version 2.xlsx
Mo,26.07.,06:00,15:01,30,36.1,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2 H3_KW 30 Version 2.xlsx
Mo,21.12.,22:00,05:59,18,24.6,A-220,100G Waffel,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 01 Version 1.xlsx
Mo,21.12.,22:00,04:34,20,26.3,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 01 Version 1.xlsx
Mo,21.12.,07:29,17:18,20,30.3,A-214,100G Knusperkeks,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 01 Version 1.xlsx
Mo,21.12.,13:23,19:33,20,26.9,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 01 Version 1.xlsx
Mo,18.01.,22:00,11:09,40,48.1,A-217,100G Weisse Mango Maracuja,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 03 Version 1.xlsx
Mo,18.01.,22:00,11:50,45,55.3,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 03 Version 1.xlsx
Mo,18.01.,12:50,21:35,34,38.2,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 03 Version 1.xlsx
Mo,25.01.,22:00,10:59,36,40.1,A-214,100G Knusperkeks,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 04 Version 1.xlsx
Mo,25.01.,12:29,18:27,14,18.4,A-220,100G Waffel,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 04 Version 1.xlsx
Mo,25.01.,06:00,14:05,22,32.3,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 04 Version 1.xlsx
Mo,01.02.,22:00,19:53,70,80.1,A-217,100G Weisse Mango Maracuja,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 05 Version 1.xlsx
Mo,01.02.,22:00,08:02,36,40.1,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 05 Version 1.xlsx
Mo,01.02.,09:02,15:00,20,26,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 05 Version 1.xlsx
Mo,08.02.,22:00,04:31,16,20.2,A-214,100G Knusperkeks,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 06 Version 1.xlsx
Mo,08.02.,06:01,18:29,30,34.5,A-934,100G Haferkeks + Joghurt,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 06 Version 1.xlsx
Mo,08.02.,06:00,12:32,20,26.1,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 06 Version 1.xlsx
Mo,08.02.,14:02,21:22:00,20,29,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 06 Version 1.xlsx
Mo,15.02.,22:00,14:31,56,60.4,A-217,100G Weisse Mango Maracuja,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 07 Version 1.xlsx
Mo,15.02.,22:00,06:02,26,32.1,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 07 Version 1.xlsx
